"Report #","Source File","Classification","Stage","Reasoning (Summary of Affective Content)"
1,"./DL005/DL005_night05.txt","Neutral",2,"The dreamer is teasing a friend about cheating; the content is morally ambiguous, but the dreamer's emotion isn't negative."
6,"./DL006/DL006_night15.txt","Neutral",5,"A simple description of a conversation about regional stereotypes."
14,"./DL017/DL017_night01.txt","Neutral",5,"A simple conversation with parents about driving routes ."
19,"./DL018/DL018_night07.txt","Neutral",5,"A descriptive scene of a dinner and a conversation about a low-paying job ."
20,"./DL019/DL019_night10.txt","Neutral",2,"A vague report about a woman talking about ""impegni"" (commitments)."
23,"./DL021/DL021_night09.txt","Neutral",5,"The dreamer feels ""fiatone"" (out of breath) from chasing an old man, but the interaction is neutral."
27,"./DL024/DL024_night04.txt","Neutral",2,"A single, neutral action: bringing chestnut flour somewhere."
28,"./DL024/DL024_night05.txt","Neutral",2,"The dreamer's direct experience is positive (good food ""belline da morire"") , while a friend's ""pericoloso"" (dangerous) trip is reported secondhand."
31,"./DL024/DL024_night08.txt","Neutral",5,"Vague report: ""C'erano le mie amiche di [PLACE1]"" (My friends from [PLACE1] were there)."
33,"./DL024/DL024_night11.txt","Neutral",2,"Mundane tasks: grocery shopping in a ""tanta fila"" (long line) and making cinnamon rolls."
36,"./DL024/DL024_night15.txt","Neutral",2,"A neutral, slightly frustrating dream about waiting for results and regretting travel plans (""mi torna male"")."
44,"./DL030/DL030_night07.txt","Neutral",2,"A descriptive, neutral summary of the Game of Thrones ending ."
48,"./DL030/DL030_night14.txt","Neutral",5,"An adventure-style dream of finding a safe place for a population, involving ""varie difficoltà"" (various difficulties) but no strong negative emotion ."
49,"./DL034/DL034_night01.txt","Neutral",2,"A single, vague image of a Japanese/Asian city."
50,"./DL034/DL034_night02.txt","Neutral",5,"A mundane, neutral scene: getting in a car with colleagues to go to a pizzeria."
52,"./DL034/DL034_night08.txt","Neutral",2,"A simple, neutral image of a drag queen TV show."
57,"./DL042/DL042_night01.txt","Neutral",2,"Vague image: ""fogli, dei pezzettini di carta"" (sheets, little pieces of paper)."
58,"./DL042/DL042_night02.txt","Neutral",2,"Vague image: Her partner and friends with ""fogli degli appunti"" (sheets of notes)."
59,"./DL042/DL042_night04.txt","Neutral",2,"Vague image: ""animali tipo cavalli"" (animals like horses)."
60,"./DL042/DL042_night05.txt","Neutral",5,"A strange but not negative dream involving family, a pregnancy , and visiting a room with a ""odore di acido"" (smell of acid)."
61,"./DL042/DL042_night07.txt","Neutral",2,"Vague image: ""Il mare"" (The sea)."
67,"./DL049/DL049_night02.txt","Neutral",5,"A minor inconvenience (wrong sushi order) that is easily resolved. The dreamer says it's ""buono"" (good) anyway ."
73,"./DL050/DL050_night08.txt","Neutral",2,"A bizarre, philosophical discussion about boycotting animal cannibalism ."
74,"./DL055/DL055_night06.txt","Neutral",2,"A brief, neutral dream about visiting a ""posto strano"" (strange place) that looks like a hospital ."
77,"./DL059/DL059_night09.txt","Neutral",2,"A simple, neutral image: washing ""ciliegie molto rosse"" (very red cherries)."
79,"./DL062/DL062_night03.txt","Neutral",2,"A strange, neutral dream about visiting a hospital that is also a greenhouse for plants ."
84,"./DL062/DL062_night09.txt","Neutral",2,"A neutral dream about organizing groups for a stage presentation ."
88,"./DL070/DL070_night04.txt","Neutral",2,"A series of neutral, observational scenes: a walk, a Chinese classroom, and a pool party with a complaining guest ."
89,"./DL070/DL070_night05.txt","Neutral",2,"A neutral image of a dog and singing ""basic"" songs."
90,"./DL070/DL070_night07.txt","Neutral",2,"Mild frustration from a ""molto complicato"" (very complicated) road, but it ends with a nice image of a ""paesaggio delle fate"" (fairy-tale landscape)."
93,"./DL070/DL070_night11.txt","Neutral",2,"A neutral, work-related dream about making checklists and registering pigs."
94,"./DL070/DL070_night12.txt","Neutral",5,"A bizarre mix of neutral and positive images: a gangster, followed by a school reunion where they were ""contenti di rivederci"" (happy to see each other) ."
97,"./DL073/DL073_night07.txt","Neutral",5,"The dreamer is in armor in an arena, but ""non ero spaventata"" (I wasn't scared) because it was ""non... pericoloso"" (not... dangerous)."
102,"./DL078/DL078_night04.txt","Neutral",2,"A bizarre, neutral dream about pirates, an elevator, and needing ""uccidere una mosca"" (to kill a fly)."
104,"./DL078/DL078_night07.txt","Neutral",2,"Vague images: ""Mia mamma, vestiti, nascondino"" (My mom, clothes, hide-and-seek)."
109,"./DL086/DL086_night01.txt","Neutral",1,"Vague content: ""Qualcosa riguardo il guidare"" (Something about driving)."
113,"./DL086/DL086_night08.txt","Neutral",5,"A neutral, descriptive dream about decorative tape and watching cartoons ."
116,"./DL086/DL086_night13.txt","Neutral",2,"A neutral, objective action: ""Ho confrontato tre libri"" (I compared three books)."
7,"./DL008/DL008_night11.txt","Nightmare",5,"A highly stressful social situation. The dreamer feels ""inquietudine"" (unease), is unjustly blamed for a child's crying, and is told to leave by her mother ."
9,"./DL014/DL014_night03.txt","Nightmare",2,"A ""spaventosa"" (frightening) and ""scioccante"" (shocking) vision of a solar eclipse, an agitated sea, and a huge ship of soldiers with ""fucili spianati"" (pointed rifles) ."
13,"./DL016/DL016_night13.txt","Nightmare",2,"A chase and escape dream. The dreamer must escape because people ""ci volevano uccidere"" (wanted to kill us). It ends with a ""spaventava"" (frightening) vision of a falling plane and a ""pericoloso e inquietante"" (dangerous and unsettling) situation ."
24,"./DL021/DL021_night14.txt","Nightmare",5,"A deeply disturbing and brief image: ""topi che venivano torturati"" (rats that were being tortured)."
54,"./DL041/DL041_night10.txt","Nightmare",2,"A long sequence of high-stress events: ""molto preoccupata"" (very worried) about spaceships abducting mother , finding her car window ""rotto"" (broken) , feeling ""disperata"" (desperate) , and ""a sclerare, a urlare"" (freaking out, screaming) at police."
72,"./DL050/DL050_night07.txt","Nightmare",5,"The dreamer's cat falls from a balcony. The partner ""rideva"" (laughed). The cat is ""tutto storto, tutto dolorante"" (all crooked, all in pain) and says ""sto morendo"" (I'm dying)."
103,"./DL078/DL078_night05.txt","Nightmare",5,"An amusement park dream with a ""mostro"" (monster) that evokes ""paura"" (fear). The dreamer must pass a level ""perché se non lo superavi morivi"" (because if you didn't pass it, you died). They experience ""schifo"" (disgust) from insects and nearly fall."
106,"./DL078/DL078_night14.txt","Nightmare",5,"A revolution where you ""bisognava combattere per riuscire a sopravvivere"" (had to fight to survive). The dreamer's faction is evil, having ""scuoiato, impiccato"" (skinned, hanged) a man. The dreamer must abandon their husband."
110,"./DL086/DL086_night02.txt","Nightmare",2,"A full-fledged horror story with ""demoni"" (demons). Characters are attacked and ""ricoperti di sangue"" (covered in blood). The dreamer is ""spaventatissima"" (terrified) , hears ""Rumori di uccisione"" (Sounds of killing) , and feels ""colpa mia"" (my fault) for the demons' arrival."
115,"./DL086/DL086_night11.txt","Nightmare",5,"A long, escalating anxiety dream. The dreamer is ""triste"" (sad) , ""arrabbiata"" (angry) , goes into ""panico più totale"" (total panic) at the supermarket , gets ""sbarrato"" (trapped) in a ""stretta umida, buia galleria"" (narrow, humid, dark tunnel) , feels ""molto spaventata"" (very scared) , and then witnesses their child/self ""muore"" (die)."
26,"./DL024/DL024_night03.txt","Positive",2,"A mixed dream that ends on a clear high note: ""salutavo contenta, e ci si abbracciava"" (I greeted him happily, and we hugged)."
30,"./DL024/DL024_night07.txt","Positive",2,"A very positive dream: meeting Nicole Kidman, who is ""bellissima"" and ""gentile"" (beautiful and kind), and becoming ""felice"" (happy) friends with her husband."
32,"./DL024/DL024_night09.txt","Positive",2,"A pleasant dream of exploring houses, culminating in falling asleep on a ""meraviglioso"" (marvelous) and ""comodissimo"" (very comfortable) sofa."
34,"./DL024/DL024_night12.txt","Positive",1,"A short, positive dream about staying with a cousin where ""c'era confidenza"" (there was closeness)."
82,"./DL062/DL062_night06.txt","Positive",2,"A very positive dream about ""cioccolatini buonissimi"" (very good chocolates) and eating outdoors with friends."
86,"./DL070/DL070_night02.txt","Positive",2,"A positive dream of ""amicizia... ritrovata"" (friendship... rediscovered) and ""complicità"" (complicity) with an old friend."
95,"./DL070/DL070_night15.txt","Positive",5,"A bizarre but creative and ""bella sensazione"" (good feeling) dream about a child magically growing a ""floride"" (flourishing) vineyard."
99,"./DL073/DL073_night14.txt","Positive",2,"A calm, positive vision of the future where the dreamer is ""contenta"" (content) and ""tranquilla"" (calm)."
108,"./DL080/DL080_night05.txt","Positive",5,"A simple, positive dream: ""Giocavo a acchiapparella con mio fratello"" (Playing tag with my brother)."
112,"./DL086/DL086_night05.txt","Positive",5,"A ""molto felice"" (very happy) dream about winning a ""bellissimo"" (beautiful) plush toy and the machine ""inonda di soldi"" (floods with money)."
118,"./DL086/DL086_night15.txt","Positive",2,"The dreamer is ""molto felice"" (very happy) and ""saltellando"" (skipping)."
2,"./DL005/DL005_night09.txt","Unpleasant/Anxious",1,"The dreamer feels ""super angosciata"" (super anxious) and ""triste"" (sad) while witnessing their sister being scolded."
3,"./DL006/DL006_night02.txt","Unpleasant/Anxious",5,"A situation of hiding (""non devono trovarci"") evokes social anxiety and frustration when a friend responds to a call."
4,"./DL006/DL006_night04.txt","Unpleasant/Anxious",5,"The dreamer experiences ""vertigini fortissimo"" (very strong vertigo) and a ""sensazione che sarei potuta cascare"" (sensation I could have fallen) from a great height."
5,"./DL006/DL006_night11.txt","Unpleasant/Anxious",5,"The dreamer realizes a marriage is ""sbagliata"" (wrong) and is disturbed to find her new husband is like her father."
8,"./DL008/DL008_night15.txt","Unpleasant/Anxious",5,"A long, bizarre dream involving a frustrating video game-like reality and driving badly to a hospital, causing a passenger to be ""preoccupata e frustrata"" (worried and frustrated)."
10,"./DL014/DL014_night04.txt","Unpleasant/Anxious",5,"A sequence of anxieties: worrying a husband will be ""arrabbiato"" (angry) , and feeling ""paura"" (fear) of being ""bloccati"" (stranded) on a broken road."
11,"./DL014/DL014_night08.txt","Unpleasant/Anxious",2,"Classic anxiety dream: being at a work event with ""macchiati"" (stained) clothes, being unable to find the correct room, and wearing an ""orribile"" (horrible) dress."
12,"./DL016/DL016_night04.txt","Unpleasant/Anxious",2,"The dream ends with the dreamer getting ""arrabbiavo"" (angry) and then feeling physically sick (""mi sentivo male"") after eating too much Nutella."
15,"./DL017/DL017_night02.txt","Unpleasant/Anxious",5,"A frustrating experience where the dreamer ""non riuscivamo a farla"" (couldn't take) a photo because the phone ""incastrava"" (got stuck) ."
16,"./DL017/DL017_night05.txt","Unpleasant/Anxious",5,"Mild social stress from being teased by colleagues and a mathematician ""alterando"" (getting annoyed)."
17,"./DL017/DL017_night09.txt","Unpleasant/Anxious",2,"Frustration with technology. The dreamer ""mi incazzavo"" (got pissed off) because the GPS was giving bad directions."
18,"./DL017/DL017_night15.txt","Unpleasant/Anxious",5,"The courtesy cars are ""state portate via"" (taken/stolen) , and the dreamer feels ""molto contrito"" (very contrite) and ""molto dispiaciuto"" (very upset) when reporting it."
21,"./DL021/DL021_night06.txt","Unpleasant/Anxious",5,"A bizarre and long dream. The key negative emotion is being ""schifate"" (disgusted) by a naked man fishing who catches a ""testa di una persona"" (person's head)."
22,"./DL021/DL021_night08.txt","Unpleasant/Anxious",5,"A series of stressful events: hitting a friend with a bike , getting a ""multa"" (fine) , losing a soccer game badly , and arguing with mother."
25,"./DL021/DL021_night15.txt","Unpleasant/Anxious",2,"A confused dream about trying to understand the source of ""il male"" (the pain/sickness) represented by points on the dreamer's own belly."
29,"./DL024/DL024_night06.txt","Unpleasant/Anxious",1,"Starts in ""prigione"" (prison) , then shifts to saving an animal, but the dreamer ""infortunavo a un piede"" (injured my foot) and needs saving."
35,"./DL024/DL024_night14.txt","Unpleasant/Anxious",5,"A visit to a ""panda temple"" turns anxious when a bull charges the barrier, and the dreamer's father reacts recklessly (""sei pazzo""). Followed by a ""pericoloso"" (dangerous) warning."
37,"./DL024/DL024_night16.txt","Unpleasant/Anxious",1,"A dream that shifts from a ""bellissimo"" (beautiful) vision of shooting stars to a ""dispiacere profondo"" (deep sorrow) after realizing they treated their mother ""male gratuitamente"" (badly for no reason)."
38,"./DL027/DL027_night09.txt","Unpleasant/Anxious",2,"The dreamer ""ci sono rimasto così male"" (was so upset) and ""veramente molto dispiaciuto"" (really very upset), finding a colleague's joke rejection of a gift ""offensivo"" (offensive)."
